id,SMILES,qed,logp,molwt,HBA,HBD,TPSA,NumRotBonds,IE,Concentration_mM,N_count,S_count,O_count,P_count,dipole_moment,HOMO,LUMO,HOMO-LUMO Gap,Ionization Potential,Electron Affinity,Electronegativity,Hardness,Softness,Electrophilicity,Electron Donor Capacity,Electron Acceptor Capacity,vdw_volume,vdw_surface_area,LD50_log10_predicted,LD50_predicted,GHS_category,Skeleton_SMILES
192,Cc1cc(O)c(C(=O)/C=C/c2cccc3cccnc23)c(=O)o1,0.593800404,3.09812,307.305,5,1,80.4,3,0.852,1.0,1,0,4,0,7.7577,-0.21988,-0.07373,0.14615,0.21988,0.07373,0.146805,0.073075,13.68457065,0.147462936,0.330805436,0.037195436,2525.508,2530.888747,3.079923645,1202.053078,4,O=C(/C=C/c1cccc2cccnc12)c1cccoc1=O
334,Nc1nc(-c2ccc(O)cc2)c(Sc2sc(N)nc2-c2ccc(O)cc2)s1,0.383365286,4.6604,414.537,9,4,118.28,4,0.851,1.0,4,3,2,0,2.8151,-0.18018,-0.01673,0.16345,0.18018,0.01673,0.098455,0.081725,12.23615785,0.059304907,0.198622407,0.001712407,3311.614,3310.583318,3.042625165,1103.126113,4,c1ccc(-c2ncsc2Sc2scnc2-c2ccccc2)cc1
808,CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],0.318840569,0.9966,382.427,2,1,29.46,16,0.851,0.1,1,0,2,0,8.1089,0.00873,0.04705,0.03832,-0.00873,-0.04705,-0.02789,0.01916,52.19206681,0.020298854,0.001988854,0.057768854,3367.465,3373.197168,2.991984936,981.7138904,4,
549,CCCCCCn1cc[n+](C)c1.[I-],0.370191345,-1.1031,294.18,1,0,8.81,5,0.851,0.5,2,0,0,0,,,,,,,,,,,,,,,2.70196474,503.4597317,4,c1c[nH+]c[nH]1
988,CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,0.344608358,4.1421,408.31,5,3,80.97,4,0.8504,0.05,3,1,2,0,,,,,,,,,,,,,3036.911,3036.65228,2.800245105,631.3135422,4,C(=N\N=c1\[nH]cc(-c2ccccc2)s1)\c1ccccc1
389,O=Cc1cc2cc([N+](=O)[O-])ccc2cc1Cl,0.456161728,3.2139,235.626,3,0,60.21,2,0.85,1.0,1,0,3,0,4.4223,-0.25101,-0.11019,0.14082,0.25101,0.11019,0.1806,0.07041,14.20252805,0.231617384,0.447422384,0.086222384,1707.687,1712.667318,3.458908009,2876.788996,5,c1ccc2ccccc2c1
200,Cc1ccc(O)c(/C=N/c2ccccc2O)c1,0.774127202,3.15682,227.263,3,2,52.82,2,0.85,1.0,1,0,2,0,3.2094,-0.21433,-0.06583,0.1485,0.21433,0.06583,0.14008,0.07425,13.46801347,0.132137417,0.309342417,0.029182417,1742.295,1739.34992,3.362312943,2303.100781,5,C(=N/c1ccccc1)\c1ccccc1
307,COc1ccccc1N=Cc1ccccc1O,0.818225785,3.1514,227.263,3,1,41.82,3,0.85,1.0,1,0,2,0,3.1951,-0.21174,-0.05118,0.16056,0.21174,0.05118,0.13146,0.08028,12.45640259,0.107634103,0.279234103,0.016314103,2204.268,2200.467112,3.306354554,2024.671427,5,C(=Nc1ccccc1)c1ccccc1
94,O=C(N/N=C/c1ccc(O)cc1)c1cccnc1,0.632070638,1.5511,241.25,4,2,74.58,3,0.85,2.0,3,0,2,0,3.0419,-0.2105,-0.05779,0.15271,0.2105,0.05779,0.134145,0.076355,13.09671927,0.117836953,0.290159453,0.021869453,2250.492,,3.266423463,1846.815295,4,O=C(N/N=C/c1ccccc1)c1cccnc1
1207,O=C1Nc2ccccc2SC1c1ccc(Cl)cc1,0.847941652,4.1255,275.76,2,1,29.1,1,0.85,0.01,1,1,1,0,4.1474,-0.21679,-0.03368,0.18311,0.21679,0.03368,0.125235,0.091555,10.92239637,0.085652369,0.256664869,0.006194869,2226.387,2232.895096,3.080750989,1204.345208,4,O=C1Nc2ccccc2SC1c1ccccc1
638,Cc1nccc2c1[nH]c1ccccc12,0.568427007,3.02452,182.226,1,1,28.68,0,0.85,0.4,2,0,0,0,2.801,-0.20578,-0.03807,0.16771,0.20578,0.03807,0.121925,0.083855,11.92534733,0.088639351,0.252491851,0.008641851,1672.418,,3.053609965,1131.383823,4,c1ccc2c(c1)[nH]c1cnccc12
1346,O=c1[nH]c2ccccc2nc1/C=C/c1ccccc1,0.7570681,3.0935,248.285,2,1,45.75,2,0.85,0.001,2,0,1,0,2.1147,-0.21169,-0.07536,0.13633,0.21169,0.07536,0.143525,0.068165,14.67028534,0.151099726,0.328707226,0.041657226,1950.939,,2.920767163,833.2343457,4,O=c1[nH]c2ccccc2nc1/C=C/c1ccccc1
1315,CN(C)c1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1,0.806113567,3.1595,291.354,3,1,48.99,3,0.85,0.001,3,0,1,0,1.891,-0.18511,-0.06769,0.11742,0.18511,0.06769,0.1264,0.05871,17.03287345,0.136066769,0.291821769,0.039021769,2211.304,2210.77134,2.874712557,749.3980467,4,O=c1[nH]c2ccccc2nc1/C=C/c1ccccc1
1289,CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,0.882795609,2.9651,274.32,4,2,71.45,2,0.85,0.001,2,0,3,0,2.1164,-0.21224,-0.05922,0.15302,0.21224,0.05922,0.13573,0.07651,13.0701869,0.120393628,0.294378628,0.022918628,2464.068,2458.24389,2.739245806,548.5873711,4,c1ccc2ncccc2c1
1095,c1ccc2[nH]c(SCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.280082683,5.884,382.558,4,2,57.36,9,0.85,0.01,4,2,0,0,2.85,-0.20539,-0.00963,0.19576,0.20539,0.00963,0.10751,0.09788,10.21659174,0.059043728,0.215493728,0.000473728,2932.59,2926.794936,2.93205536,855.1757171,4,c1ccc2[nH]c(SCCCCCCSc3nc4ccccc4[nH]3)nc2c1
1208,O=Cc1c(-c2ccccc2)nc2ncccn12,0.625606628,2.2088,223.235,4,0,47.26,2,0.85,0.01,3,0,1,0,4.5922,-0.22991,-0.07294,0.15697,0.22991,0.07294,0.151425,0.078485,12.74128814,0.146075878,0.336743378,0.033893378,1778.799,,2.844836057,699.5778604,4,c1ccc(-c2cn3cccnc3n2)cc1
734,c1cc(-c2nc3ccccc3s2)nc(-c2nc3ccccc3s2)c1,0.415737599,5.635,345.452,5,0,38.67,2,0.85,0.1,3,2,0,0,2.3201,-0.22715,-0.06966,0.15749,0.22715,0.06966,0.148405,0.078745,12.699219,0.139844079,0.327621579,0.030811579,2874.166,2881.063533,2.778795783,600.8911155,4,c1cc(-c2nc3ccccc3s2)nc(-c2nc3ccccc3s2)c1
413,Sc1nc(/N=C/c2ccco2)n[nH]1,0.56111443,1.437,194.219,5,2,67.07,2,0.85,1.0,4,1,1,0,1.5423,-0.20873,-0.05747,0.15126,0.20873,0.05747,0.1331,0.07563,13.2222663,0.117120257,0.288035257,0.021835257,1513.459,1517.877126,2.737610075,546.5250528,4,C(=N/c1nc[nH]n1)\c1ccco1
711,[N-]=[N+]=NCc1cc(CN2CCCCC2)c(O)c2ncccc12,0.529683573,3.7366,297.362,4,1,85.12,4,0.85,0.1,5,0,1,0,2.3484,-0.20199,-0.06608,0.13591,0.20199,0.06608,0.134035,0.067955,14.71562063,0.132185867,0.300198367,0.032128367,2960.297,2959.89827,2.680527427,479.2117161,4,c1cnc2cc(CN3CCCCC3)ccc2c1
38,COc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCCBr)cc1OC.[Br-],0.118409317,3.499,564.447,3,0,30.82,18,0.8495,5.0,2,0,2,0,,,,,,,,,,,,,4294.848,4299.19692,2.691321111,491.27098,4,c1ccccc1
